first_name,last_name,date_of_birth,current_school,current_grade,default_discount_percentage
Sam,Do,,Truong THPT Le Loi,,31.4
David,Garcia,2011-08-25,,11,6.2
Catherine,Thomas,2010-03-18,,,9.4
Quinn,Hernandez,2009-02-18,Truong THPT Hai Ba Trung,,7.7
Linh,Phung,2010-12-13,Truong THPT Quang Trung,10,1.9
Frank,Pham,2008-08-02,Truong THPT Nguyen Trai,,37.9
Binh,Do,2010-10-20,,11,8.7
Noah,Smith,2008-10-13,,10,8.2
Liam,Pham,,,Sophomore,5.9
Alex,Nguyen,2010-06-16,Truong THPT Le Quy Don,Sophomore,27.3
Frank,Dang,2011-09-30,Princeton University,Sophomore,43.6
Tina,Ho,2011-06-26,Truong THPT Le Quy Don,,37.6
Nam,Johnson,,Stanford University,,24.3
Khanh,Davis,2010-07-18,Truong THPT Nguyen Hue,,39.8
Paul,Ly,,Truong THPT Tran Phu,Senior,5.1
Nam,Thomas,2008-03-15,Truong THPT Le Quy Don,Junior,1.3
Brian,Martinez,2011-05-22,Truong THPT Nguyen Du,10,36.1
Em,Gonzalez,2009-07-17,,Senior,7.5
Yen,Jackson,,Stanford University,Senior,1.9
Maya,Miller,2010-07-03,University of California,12,24.8
Ivy,Martin,,Truong THPT Le Quy Don,Freshman,14.6
David,Williams,2011-07-19,,Freshman,0.3
Tina,Vo,2009-10-11,University of California,,12.0
Sam,Pham,,Truong THPT Le Loi,Junior,13.0
Frank,Truong,2009-08-25,Truong THPT Le Quy Don,,33.8
Grace,Smith,2010-10-16,Stanford University,,46.6
Catherine,Smith,2009-07-16,,11,5.6
Frank,Phan,2007-12-11,,,23.8
Thu,Hoang,2011-10-27,,,30.9
Henry,Nguyen,2011-10-22,Truong THPT Le Quy Don,9,2.1
Nam,Dang,2010-06-30,University of Chicago,12,34.6
Uyen,Garcia,2011-06-03,Truong THPT Le Loi,Junior,41.3
Sang,Gonzalez,2009-11-24,,,38.4
Nam,Johnson,2010-10-11,Truong THPT Vo Thi Sau,11,40.8
Frank,Phan,2011-02-02,MIT,,33.3
Noah,Do,,,10,0.4
Xuan,Dang,2009-05-25,Truong THPT Nguyen Du,,20.4
Sam,Ly,,University of Chicago,,44.9
Quang,Le,2009-06-10,,Sophomore,26.3
Paul,Ly,2010-06-10,Duke University,,8.2
Tina,Dang,2010-06-03,Harvard University,11,7.8
Paul,Hoang,2008-05-04,,,2.0
Noah,Anderson,2010-03-04,,Senior,44.0
Maya,Vu,,,10,29.7
Emma,Smith,2010-04-10,,,14.5
Uyen,Nguyen,,Truong THPT Vo Thi Sau,Junior,9.5
David,Miller,2010-06-01,University of California,,10.9
Kelly,Vu,,Columbia University,9,22.7
Linh,Dang,2008-10-18,Harvard University,Sophomore,25.7
Quinn,Williams,2008-07-08,,Freshman,17.9
Duc,Dang,2009-04-08,Truong THPT Le Loi,11,27.4
Brian,Dinh,2008-12-09,Stanford University,11,44.8
Liam,Vu,2010-08-12,,,31.4
Tina,Pham,2011-05-27,Truong THPT Vo Thi Sau,Junior,19.5
Binh,Ly,2008-07-22,,,5.7
Hoa,Truong,,Truong THPT Quang Trung,,16.9
Xuan,Moore,2008-03-08,,Sophomore,27.7
Hoa,Truong,2008-05-13,MIT,,37.2
Brian,Duong,2010-06-24,Truong THPT Hai Ba Trung,,19.2
Nam,Vo,2010-02-20,Truong THPT Nguyen Hue,11,35.0
Maya,Dang,2011-08-26,Northwestern University,10,11.7
Catherine,Taylor,2010-09-24,Truong THPT Tran Phu,Sophomore,37.5
Hoa,Smith,2010-05-26,Truong THPT Nguyen Hue,Junior,4.2
Viet,Thomas,2010-07-07,,10,1.8
Duc,Thomas,2011-03-04,Truong THPT Le Loi,11,7.9
Hoa,Dang,2010-06-22,Yale University,12,25.2
Kelly,Gonzalez,2008-10-06,Northwestern University,,32.3
Binh,Vu,2010-03-03,Truong THPT Le Quy Don,Junior,43.6
Paul,Ly,2011-04-26,,,27.1
Sang,Nguyen,2008-08-21,MIT,Sophomore,37.9
Catherine,Dong,2010-04-08,Yale University,,2.6
An,Tran,2011-08-13,,,25.4
Quang,Jones,,Northwestern University,,17.1
Maya,Tran,2010-03-19,Truong THPT Nguyen Hue,,46.1
Olivia,Do,,,Junior,11.8
Hoa,Davis,,,10,48.8
Grace,Phung,2008-12-28,Duke University,Sophomore,29.1
Binh,Moore,2009-11-06,Truong THPT Nguyen Du,Junior,3.1
Sam,Brown,2011-10-02,MIT,,15.7
Minh,Williams,2010-12-28,,,10.6
Jack,Hoang,2008-11-28,Duke University,12,18.1
Linh,Garcia,,Yale University,10,33.9
Sam,Jones,,Truong THPT Le Loi,11,37.5
Viet,Duong,2008-11-11,Truong THPT Tran Phu,9,11.3
Hoa,Brown,2011-01-06,,Freshman,9.7
Chi,Dong,2008-01-03,Yale University,,25.8
Alex,Tran,2008-04-13,,10,28.8
Rachel,Dong,2011-07-23,Princeton University,11,14.1
An,Phan,2008-03-25,Columbia University,Sophomore,35.0
Quang,Vo,2011-03-29,,10,12.1
Giang,Vu,2008-08-14,MIT,,42.1
An,Do,2009-08-05,Truong THPT Hai Ba Trung,Senior,45.5
Hoa,Ho,2009-12-29,,10,21.7
Jack,Thomas,2010-12-24,,Sophomore,40.5
Uyen,Davis,2009-05-30,Duke University,11,45.3
Minh,Bui,,Truong THPT Tran Phu,,47.2
Thu,Hernandez,,Truong THPT Hai Ba Trung,,14.6
Chi,Hoang,2010-01-12,Northwestern University,,4.3
Emma,Miller,2009-04-12,Princeton University,12,29.6
Henry,Anderson,2010-07-18,Truong THPT Hai Ba Trung,11,5.5
Jack,Anderson,2009-03-07,Harvard University,11,0.2
Em,Dinh,2011-09-19,Truong THPT Le Quy Don,11,23.8
Henry,Duong,2008-12-15,,12,19.2
Phong,Davis,2010-11-26,,12,14.4
Kelly,Dang,2009-11-07,Harvard University,Junior,8.6
Liam,Hoang,,Harvard University,,11.2
Olivia,Vu,2010-06-25,,,29.3
Grace,Vu,,Columbia University,12,17.2
Giang,Ly,2009-10-28,Truong THPT Nguyen Du,,23.9
An,Dang,2009-05-06,Truong THPT Vo Thi Sau,,11.2
Xuan,Martinez,2010-09-09,Stanford University,,30.9
Uyen,Thomas,2009-11-18,Truong THPT Nguyen Trai,Sophomore,13.3
Hoa,Smith,2011-09-14,Duke University,,40.2
Catherine,Thomas,2009-01-24,Princeton University,Sophomore,20.7
Maya,Phung,2009-03-06,Duke University,,18.0
Ivy,Thomas,2011-09-23,Duke University,Sophomore,40.1
Thu,Brown,,Truong THPT Nguyen Trai,,36.1
Tina,Phung,2009-06-08,,,35.1
Rachel,Ngo,2010-09-05,Columbia University,10,24.1
Quinn,Martin,2009-12-27,University of Chicago,9,8.4
Henry,Ho,,Stanford University,Junior,23.2
Alex,Nguyen,2010-03-12,Truong THPT Vo Thi Sau,11,43.1
Linh,Ngo,2009-07-24,Duke University,,11.9
Sam,Ly,2009-04-01,Truong THPT Tran Phu,12,5.1
Emma,Wilson,,Truong THPT Ly Tu Trong,Senior,10.0
Frank,Garcia,2008-06-05,,Senior,10.1
Chi,Jones,2009-03-27,Truong THPT Nguyen Du,,15.4
Hoa,Dang,2010-11-28,Truong THPT Tran Phu,,29.3
Phong,Phan,,,Junior,1.5
Kelly,Wilson,,Northwestern University,10,40.8
Quang,Wilson,2011-02-12,Truong THPT Tran Phu,10,23.7
Liam,Dinh,,Truong THPT Nguyen Hue,12,23.6
Viet,Gonzalez,2010-04-17,Harvard University,,44.7
Sang,Jones,2011-06-02,Truong THPT Quang Trung,12,24.1
Henry,Duong,2011-07-14,Truong THPT Nguyen Trai,Junior,30.0
Chi,Dang,2011-03-09,Northwestern University,11,23.8
Em,Duong,2010-08-16,,,40.7
Uyen,Ho,2010-10-28,,,4.7
Em,Dong,2010-06-25,Princeton University,,10.5
Maya,Garcia,2010-08-13,University of California,,5.7
Nam,Hoang,2010-04-25,,12,19.0
Khanh,Garcia,,Yale University,,12.1
Sam,Moore,,Truong THPT Quang Trung,9,14.8
Giang,Do,2011-07-30,Truong THPT Vo Thi Sau,Senior,15.1
Emma,Moore,,,,49.6
David,Johnson,,,,11.4
Catherine,Martin,2010-02-01,,Sophomore,3.5
Minh,Jackson,2008-06-24,,10,13.9
Noah,Miller,2010-06-06,University of Chicago,,27.6
Oanh,Phan,,Princeton University,,26.2
Tina,Thomas,2008-08-10,,Freshman,0.0
Viet,Moore,2010-09-10,,12,18.6
Ivy,Dang,,Harvard University,9,40.6
Viet,Pham,2009-02-19,,,3.6
Ivy,Gonzalez,,Truong THPT Hai Ba Trung,Junior,13.1
Emma,Dinh,2010-09-20,Truong THPT Ly Tu Trong,,29.6
Grace,Thomas,2010-03-21,Truong THPT Hai Ba Trung,9,9.9
Linh,Jackson,2008-11-16,Truong THPT Le Quy Don,,44.0
Giang,Wilson,2007-12-30,Truong THPT Vo Thi Sau,12,4.3
Maya,Ngo,,Truong THPT Hai Ba Trung,,39.2
Rachel,Brown,2009-04-08,,12,16.6
Phong,Gonzalez,2010-05-02,Truong THPT Le Loi,,29.5
Grace,Phan,2010-09-19,Stanford University,11,41.5
Giang,Johnson,2008-01-06,University of Chicago,Senior,38.0
Sang,Ly,2008-11-15,Northwestern University,Freshman,46.5
Grace,Truong,2008-12-25,,,1.9
Catherine,Bui,2011-08-24,Truong THPT Hai Ba Trung,Freshman,0.2
Hoa,Ly,,,11,28.6
Quinn,Pham,2011-06-07,,,42.1
Quinn,Duong,2007-11-02,,,8.3
Emma,Phung,2011-05-05,,Junior,3.2
Kelly,Ho,2008-02-04,Truong THPT Nguyen Du,9,3.1
Quinn,Nguyen,2009-04-12,Truong THPT Tran Phu,Sophomore,4.9
Yen,Bui,2010-03-09,Northwestern University,10,7.5
David,Dang,2011-08-19,,,10.3
Chi,Brown,2009-05-25,,,25.1
Thu,Johnson,,Truong THPT Nguyen Trai,9,9.1
Rachel,Martinez,2008-03-16,,,23.7
Brian,Thomas,2008-01-04,Duke University,Junior,35.3
Catherine,Hernandez,2007-12-19,Princeton University,Freshman,45.7
Phong,Hoang,2011-03-21,Duke University,,9.8
An,Wilson,2008-05-09,Northwestern University,9,20.0
Paul,Dinh,2010-07-12,,,24.1
Quinn,Ly,2011-09-04,,11,15.1
Frank,Thomas,2011-04-13,Truong THPT Tran Phu,11,47.6
Paul,Phung,2008-09-09,Yale University,,10.3
Jack,Ly,2009-12-17,,9,1.5
Paul,Smith,2011-01-03,,,24.1
Oanh,Moore,,Harvard University,,27.2
Sang,Do,2011-02-13,Duke University,,30.8
Catherine,Hoang,2010-12-25,Duke University,Sophomore,43.8
Viet,Jones,2011-03-26,Northwestern University,Sophomore,21.3
Quinn,Thomas,2010-09-27,,,36.1
Frank,Duong,2010-03-16,Yale University,12,1.3
Paul,Nguyen,2010-05-22,Truong THPT Nguyen Du,,21.4
Henry,Taylor,,University of Chicago,,2.1
Paul,Moore,2011-10-20,,,13.5
Khanh,Tran,2008-12-15,Truong THPT Nguyen Trai,11,0.5
Hoa,Miller,2008-02-07,,Junior,30.5
Emma,Vo,2008-06-26,Truong THPT Ly Tu Trong,,15.9
Kelly,Rodriguez,2008-02-16,Northwestern University,,10.9
Tina,Phung,2009-06-02,Columbia University,,14.3
Thu,Hernandez,2009-01-28,,9,40.7
Khanh,Johnson,2010-10-31,,,37.4
Quinn,Miller,,Truong THPT Nguyen Trai,,44.7
Olivia,Martin,,Duke University,10,6.4
Ivy,Hoang,2011-09-02,Truong THPT Hai Ba Trung,,36.6
Catherine,Williams,2010-04-11,,,15.6
Kelly,Do,2010-02-23,University of California,9,45.9
Jack,Gonzalez,2008-07-23,University of California,,16.6
David,Pham,2008-03-19,University of California,11,6.7
Jack,Smith,,,11,47.5
Catherine,Taylor,,,,27.3
Giang,Taylor,2011-07-30,,,45.2
Catherine,Le,2011-03-04,Northwestern University,,40.8
Catherine,Vo,2010-03-30,,,19.9
Alex,Nguyen,,,10,21.9
Paul,Vu,2008-01-10,,Senior,48.9
An,Anderson,2010-01-18,Truong THPT Tran Phu,,9.4
Catherine,Johnson,2010-08-22,Truong THPT Vo Thi Sau,10,15.4
Quinn,Phan,2009-04-01,Truong THPT Le Loi,,42.7
An,Miller,2008-06-10,,,46.9
Alex,Truong,2009-10-13,Yale University,,15.5
Frank,Martin,2010-01-02,,,12.3
Emma,Lopez,,,9,17.3
Alex,Miller,2009-06-25,,Junior,30.6
Chi,Lopez,,Truong THPT Vo Thi Sau,Senior,36.2
Binh,Taylor,2008-04-06,,11,13.7
Yen,Moore,2008-05-31,Truong THPT Le Quy Don,,14.4
Uyen,Gonzalez,2010-09-28,Yale University,Sophomore,14.2
Henry,Ly,2007-11-29,MIT,,19.9
Rachel,Ly,2009-10-05,,,16.7
Brian,Rodriguez,,,9,33.0
Jack,Martinez,,Duke University,Freshman,16.2
David,Rodriguez,2009-01-19,Truong THPT Tran Phu,9,23.8
Chi,Dinh,,Truong THPT Vo Thi Sau,,25.5
Frank,Smith,2008-02-25,Truong THPT Hai Ba Trung,,1.5
David,Do,2010-11-18,Truong THPT Hai Ba Trung,,5.3
Catherine,Gonzalez,2010-02-26,Truong THPT Nguyen Hue,10,43.2
Sam,Pham,2009-07-19,Truong THPT Nguyen Hue,,10.8
Liam,Dang,2010-09-15,,10,30.9
Quang,Rodriguez,2010-10-27,,,1.3
Tina,Rodriguez,2010-11-08,Duke University,,46.4
Sam,Duong,2009-04-15,Truong THPT Hai Ba Trung,11,19.5
Kelly,Dang,2009-03-09,Duke University,12,23.1
Chi,Dang,2010-03-28,Northwestern University,,4.4
Maya,Phan,2008-03-19,Truong THPT Vo Thi Sau,Sophomore,1.8
Frank,Vo,2009-07-17,,9,32.5
Alex,Dinh,,Truong THPT Le Loi,,2.5
Noah,Tran,2010-11-28,,9,14.9
Em,Hernandez,2010-11-30,,10,46.0
Grace,Vo,2009-02-07,Northwestern University,9,38.1
Henry,Ho,2008-09-03,Truong THPT Tran Phu,Sophomore,37.4
Frank,Pham,,,Junior,43.1
Emma,Gonzalez,2007-11-01,Harvard University,,41.9
Brian,Duong,2011-09-06,Harvard University,,34.5
Chi,Pham,2009-10-07,Harvard University,,14.6
Khanh,Pham,2010-12-01,Truong THPT Nguyen Hue,10,25.9
Rachel,Dang,2009-12-07,Duke University,11,31.4
Maya,Dang,2011-03-06,Truong THPT Le Loi,,35.5
Frank,Vu,2008-04-09,Truong THPT Nguyen Trai,Sophomore,19.1
An,Tran,2010-04-17,Truong THPT Quang Trung,10,40.9
Thu,Lopez,2008-04-29,Truong THPT Hai Ba Trung,,7.6
Ivy,Anderson,,Truong THPT Nguyen Trai,10,28.0
Uyen,Johnson,2011-06-10,Truong THPT Nguyen Trai,,38.3
Kelly,Phan,2011-07-24,,Sophomore,11.2
Rachel,Le,2009-05-02,,,36.5
Thu,Tran,2008-07-20,,,35.3
Giang,Anderson,2008-05-15,,,11.1
Chi,Lopez,2008-01-19,,12,16.5
Yen,Moore,2010-07-14,,12,31.1
Binh,Davis,2008-03-03,,12,11.8
Yen,Tran,2011-03-04,,Freshman,26.9
Duc,Miller,2007-12-26,Columbia University,12,46.2
Giang,Ho,2011-05-17,Princeton University,,42.3
Jack,Miller,2009-12-17,Stanford University,Senior,10.5
Emma,Truong,,,Junior,43.2
Grace,Williams,2008-06-02,,Freshman,15.1
Quinn,Gonzalez,2010-12-18,Truong THPT Hai Ba Trung,10,45.1
Sam,Bui,,University of Chicago,Freshman,14.0
Liam,Anderson,2009-08-22,University of Chicago,12,27.2
David,Truong,2010-12-03,Northwestern University,,6.3
Binh,Smith,2008-10-11,Truong THPT Tran Phu,Senior,25.8
Catherine,Dang,2009-11-03,Truong THPT Ly Tu Trong,,38.2
Yen,Phan,,,12,18.3
Oanh,Gonzalez,2008-01-08,Columbia University,,20.5
Sam,Jones,,,Junior,14.4
Henry,Williams,2010-11-22,Truong THPT Quang Trung,12,11.3
Hoa,Wilson,2008-10-29,,10,9.4
Olivia,Dang,2009-06-01,,Junior,29.4
Khanh,Truong,2009-09-22,Truong THPT Tran Phu,11,29.7
Oanh,Jackson,2009-10-29,Truong THPT Nguyen Hue,10,3.8
Rachel,Le,2008-04-06,Stanford University,Junior,2.4
Catherine,Phan,2009-02-04,,Freshman,21.6
Olivia,Bui,,,,42.9
Olivia,Vu,2008-10-18,,Junior,32.3
Xuan,Hernandez,2008-08-26,Truong THPT Nguyen Du,,5.6
Rachel,Ho,2011-08-24,Columbia University,,3.9
Uyen,Le,2010-01-22,Truong THPT Hai Ba Trung,,32.3
Linh,Gonzalez,,,Sophomore,26.9
Catherine,Nguyen,2008-05-22,Princeton University,,39.5
Duc,Smith,2011-05-27,Truong THPT Hai Ba Trung,,26.8
Giang,Phung,2008-07-04,Harvard University,,18.3
Grace,Phung,2011-01-16,MIT,Freshman,12.9
Phong,Johnson,2009-09-28,,9,29.3
Ivy,Phan,2008-05-26,Truong THPT Nguyen Du,Freshman,3.0
Chi,Martinez,2010-08-03,Truong THPT Nguyen Du,9,31.6
Grace,Vu,2010-04-27,,,10.6
Linh,Miller,2011-05-01,Truong THPT Nguyen Du,10,31.3
Xuan,Pham,2010-01-02,,,46.7
Liam,Garcia,2011-03-19,,Freshman,25.0
Olivia,Jackson,,Northwestern University,Senior,0.0
Binh,Do,2007-11-02,University of California,Sophomore,33.0
Catherine,Martin,2010-06-26,Duke University,Junior,29.9
Viet,Dang,2011-05-03,,11,1.3
Brian,Wilson,2007-12-03,Truong THPT Le Loi,,42.8
Giang,Ho,2009-08-06,Truong THPT Le Quy Don,Freshman,29.9
Jack,Lopez,2008-11-07,,11,6.7
Catherine,Ngo,2011-04-24,Truong THPT Vo Thi Sau,,16.8
Viet,Martinez,,,,16.0
Xuan,Dang,2011-10-03,Truong THPT Quang Trung,Freshman,34.6
Henry,Ly,2011-02-09,University of California,9,1.8
Alex,Vo,2009-12-31,Truong THPT Vo Thi Sau,12,27.1
Giang,Gonzalez,2008-05-19,Truong THPT Nguyen Trai,Sophomore,40.1
Tina,Bui,2009-05-17,Truong THPT Hai Ba Trung,,35.0
Brian,Phung,2010-03-09,,11,27.4
Henry,Vo,2010-12-08,Truong THPT Nguyen Trai,12,45.0
Olivia,Dang,2009-10-06,Truong THPT Ly Tu Trong,10,34.3
Linh,Taylor,,,Sophomore,44.7
Alex,Lopez,,Truong THPT Nguyen Du,,25.9
Uyen,Duong,,,Sophomore,21.7
An,Pham,2010-07-11,,Sophomore,46.8
Emma,Truong,2011-07-04,Truong THPT Le Quy Don,12,1.4
Linh,Smith,2011-01-10,,9,15.5
Henry,Jackson,2010-07-26,Northwestern University,,36.1
Olivia,Phan,2011-08-05,Truong THPT Nguyen Hue,,26.3
Yen,Ly,,Truong THPT Nguyen Hue,Junior,14.7
Linh,Dong,2011-03-15,Truong THPT Nguyen Trai,9,22.9
Yen,Rodriguez,2010-03-26,Truong THPT Ly Tu Trong,,36.6
Quinn,Martin,2010-06-01,,Senior,20.8
Grace,Gonzalez,2009-01-08,,Sophomore,44.1
Sam,Johnson,2008-02-02,Truong THPT Quang Trung,,19.9
Quang,Truong,2011-09-02,Truong THPT Le Quy Don,,27.5
Frank,Miller,2011-03-29,Northwestern University,,44.6
Oanh,Dong,,Truong THPT Nguyen Trai,12,41.6
Olivia,Miller,2010-05-25,Columbia University,,7.9
Yen,Jones,2009-08-22,,,13.3
Quang,Davis,,University of California,Sophomore,26.1
Viet,Nguyen,,Truong THPT Tran Phu,,12.8
Grace,Johnson,2008-10-09,MIT,11,33.9
Quinn,Anderson,2011-06-27,Truong THPT Hai Ba Trung,,30.7
Khanh,Taylor,2008-02-18,,Freshman,26.2
Oanh,Phung,2010-08-09,,,5.9
Binh,Johnson,2009-02-02,Truong THPT Tran Phu,Sophomore,25.3
Chi,Dong,2011-06-17,,12,10.3
David,Rodriguez,2011-04-22,Truong THPT Quang Trung,9,49.7
Jack,Jackson,2011-08-23,Yale University,10,25.7
Emma,Vo,2008-01-30,,11,11.2
Catherine,Pham,2009-05-28,,Junior,31.4
An,Jones,2008-06-25,,9,41.7
Olivia,Do,2008-11-19,Columbia University,,29.9
Kelly,Dang,,MIT,,43.9
Noah,Johnson,2009-12-22,,,44.9
Grace,Martin,2008-06-05,MIT,Sophomore,43.7
Chi,Le,2008-11-16,Columbia University,Freshman,39.8
Grace,Do,2011-08-31,,9,2.8
Phong,Ly,2010-11-12,,Senior,37.2
Emma,Thomas,,,,3.4
Xuan,Dang,2010-08-17,,,42.5
Alex,Hoang,2008-12-28,Truong THPT Nguyen Trai,,45.1
Oanh,Dang,2008-01-16,Stanford University,,1.9
Brian,Smith,2008-08-26,Yale University,Senior,3.6
Oanh,Le,2009-08-07,Truong THPT Nguyen Trai,Junior,44.9
Uyen,Ho,2010-10-22,Northwestern University,11,34.5
Catherine,Gonzalez,,Northwestern University,10,46.7
Alex,Ngo,2009-04-02,Truong THPT Ly Tu Trong,9,25.7
Brian,Smith,2010-03-12,,Junior,24.3
Chi,Hoang,2007-12-31,,,16.5
Nam,Vo,2009-04-28,Truong THPT Le Loi,,4.2
Nam,Jackson,,Truong THPT Nguyen Trai,Senior,38.5
Ivy,Duong,2010-11-08,,,39.6
Linh,Williams,2009-12-25,Truong THPT Nguyen Du,Sophomore,21.4
Linh,Gonzalez,2009-09-29,,Sophomore,20.5
Tina,Hernandez,2008-08-30,Truong THPT Le Quy Don,,38.5
Jack,Martinez,2009-05-05,Truong THPT Nguyen Du,Senior,38.9
Emma,Gonzalez,2010-12-23,Truong THPT Hai Ba Trung,,0.8
Olivia,Taylor,2008-08-28,Truong THPT Vo Thi Sau,11,44.0
Hoa,Miller,,Truong THPT Quang Trung,12,36.0
Frank,Do,2008-03-01,MIT,10,6.9
Grace,Phan,,University of Chicago,Sophomore,30.3
Minh,Do,2009-11-19,Truong THPT Ly Tu Trong,Senior,24.4
Rachel,Miller,2009-10-01,Truong THPT Le Quy Don,,10.7
Henry,Bui,2011-02-18,Stanford University,,22.3
Noah,Dang,2009-07-01,Truong THPT Ly Tu Trong,Sophomore,41.6
Noah,Phung,2010-07-01,MIT,Freshman,27.4
Xuan,Anderson,2008-08-13,MIT,Sophomore,37.8
Liam,Martin,2008-11-20,Truong THPT Nguyen Hue,,9.7
Emma,Miller,,Harvard University,Senior,37.6
Chi,Smith,2010-08-30,University of Chicago,,21.2
Uyen,Martin,2009-02-25,Columbia University,,10.1
Em,Dong,2007-11-09,Truong THPT Nguyen Trai,11,33.7
Tina,Vu,,Truong THPT Nguyen Du,,1.9
Frank,Jones,2011-06-30,University of California,Sophomore,26.5
Thu,Lopez,2011-07-11,Truong THPT Le Quy Don,10,15.1
Minh,Bui,2008-01-31,,Junior,10.4
Kelly,Do,2010-06-04,Truong THPT Le Quy Don,Sophomore,30.6
Paul,Hernandez,2011-01-13,Stanford University,10,45.7
Nam,Dang,2008-06-09,Truong THPT Ly Tu Trong,11,1.2
Phong,Taylor,2011-09-29,,Junior,26.7
Khanh,Dang,2009-04-26,Northwestern University,,1.8
Ivy,Bui,,Princeton University,Freshman,19.3
Khanh,Dang,2010-03-23,Northwestern University,,18.6
Em,Ho,2011-08-03,,,10.3
Khanh,Le,2008-12-15,,,14.1
Uyen,Thomas,2009-05-29,Columbia University,,29.3
Thu,Miller,,,,41.4
Duc,Le,2008-05-29,University of California,,38.1
Emma,Taylor,2009-04-29,,Junior,44.1
Uyen,Phung,2008-11-05,Harvard University,11,9.7
An,Martinez,,Truong THPT Vo Thi Sau,Freshman,12.1
Oanh,Tran,2009-09-29,Truong THPT Ly Tu Trong,9,36.3
Binh,Ho,2011-09-23,,,45.8
Linh,Ho,,Duke University,,19.0
Thu,Wilson,2010-01-26,,12,13.8
Noah,Ly,2009-07-28,Duke University,Senior,1.9
Quang,Davis,2008-12-27,Truong THPT Hai Ba Trung,11,22.8
Xuan,Jones,,Truong THPT Le Loi,Freshman,17.3
Linh,Vu,2010-02-17,Princeton University,11,24.7
Quang,Pham,2009-03-08,Truong THPT Nguyen Trai,Freshman,42.7
Brian,Moore,2009-12-01,Columbia University,,7.3
Quinn,Ngo,2011-07-29,Truong THPT Quang Trung,,31.6
Sam,Vu,2009-07-24,,,16.1
Oanh,Miller,,,,11.7
Linh,Jackson,2010-06-09,,12,42.8
Henry,Dang,2008-06-18,Truong THPT Le Quy Don,Sophomore,34.4
Oanh,Tran,2011-09-07,,11,7.2
Tina,Miller,2008-06-03,Truong THPT Tran Phu,Senior,4.7
Noah,Dong,2009-12-12,Harvard University,,15.4
David,Duong,,Columbia University,9,36.9
Quang,Rodriguez,2009-12-19,Truong THPT Nguyen Trai,,25.8
Brian,Thomas,2009-06-27,Truong THPT Le Quy Don,12,48.8
Brian,Hernandez,2011-09-16,Columbia University,,0.8
Maya,Truong,,Yale University,Sophomore,35.9
Duc,Hoang,,,12,33.6
Frank,Martinez,2010-03-15,Truong THPT Nguyen Hue,,8.3
Duc,Anderson,2010-12-18,Harvard University,,18.5
Xuan,Duong,2010-03-02,,11,44.7
Olivia,Phan,2008-08-13,,,4.3
An,Nguyen,2011-02-28,,Sophomore,39.9
Viet,Le,2010-06-13,Truong THPT Quang Trung,,48.6
Nam,Anderson,2008-02-25,Truong THPT Le Quy Don,11,22.6
An,Moore,,,Senior,31.6
Henry,Miller,,Truong THPT Nguyen Hue,9,40.7
Oanh,Phung,2008-07-30,Harvard University,9,17.7
Liam,Ngo,2009-08-31,,,34.6
Alex,Miller,2008-04-17,Northwestern University,Junior,45.7
Maya,Do,,,,48.8
Chi,Bui,2010-07-19,Truong THPT Nguyen Hue,,11.1
Oanh,Jones,2010-12-09,,11,25.6
Chi,Moore,2009-12-20,MIT,,19.2
Alex,Dinh,2010-12-27,,Junior,46.3
Em,Wilson,2007-12-29,Truong THPT Nguyen Du,Freshman,14.2
Viet,Gonzalez,2011-02-01,Truong THPT Le Quy Don,,31.9
Emma,Miller,,,12,21.8
Binh,Lopez,2009-10-14,,,46.2
Giang,Ngo,2009-04-12,,Sophomore,27.1
Noah,Tran,2008-01-29,,11,9.9
Noah,Dong,,Stanford University,10,35.4
Liam,Nguyen,2008-03-14,University of Chicago,Sophomore,29.2
Phong,Anderson,2007-11-12,University of Chicago,Freshman,45.0
Sang,Jones,2010-02-26,Yale University,Senior,37.9
Nam,Brown,2010-09-28,,12,28.7
Xuan,Dang,2008-09-22,Truong THPT Quang Trung,12,39.7
Nam,Ly,2010-01-09,Northwestern University,Sophomore,5.7
Quinn,Ngo,2011-02-09,,12,7.6
Emma,Martinez,,Stanford University,,41.3
Grace,Anderson,2009-04-05,,,42.6
Nam,Phan,2008-12-12,,,33.2
Binh,Tran,2010-05-22,Harvard University,9,0.3
Em,Vu,2008-06-23,Truong THPT Nguyen Du,Senior,35.2
Xuan,Taylor,2010-05-14,Truong THPT Vo Thi Sau,10,20.2
Kelly,Hoang,,Truong THPT Hai Ba Trung,,28.0
Grace,Rodriguez,2010-07-14,Columbia University,10,34.4
Oanh,Bui,2011-04-17,Truong THPT Nguyen Hue,,2.4
Sam,Brown,2009-03-03,Truong THPT Nguyen Hue,,37.3
An,Davis,2009-11-09,,,12.8
David,Rodriguez,2008-09-11,,Junior,36.6
Olivia,Lopez,2010-07-01,Yale University,9,6.9
Viet,Jackson,2008-04-27,Duke University,Sophomore,45.6
Kelly,Gonzalez,2010-02-11,Truong THPT Le Loi,,49.1
David,Brown,2008-06-01,,,33.3
Quang,Jones,2008-06-14,Princeton University,,28.5
Brian,Vu,,,,26.6
Ivy,Thomas,2010-12-01,Truong THPT Le Quy Don,11,29.2
Quinn,Martinez,2010-02-18,Princeton University,,14.2
Giang,Dinh,2010-06-12,Truong THPT Tran Phu,12,38.4
Linh,Martinez,2009-09-14,Harvard University,,25.1
Duc,Bui,,Truong THPT Quang Trung,,17.2
An,Martinez,2009-01-11,,,43.0
